category,ordered(crossed out),name,total_price,unit_price,link,orders,per_order,dimensions,note
STATIC FIRING TEST STAND,True,Low-profile aluminum strut,41.95,NA,https://www.amazon.com/Strut-Channel-ft-Aluminum-Gauge/dp/B076C78KRV?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1XEPQX7WMX2GE&gQT=0, 1  ,NA,  5ft  ,     More structure to mount motor vertically  
STATIC FIRING TEST STAND,True,Steel Cable,35.95 ,$9 per item,https://www.amazon.com/BRINKS-Flexible-Steel-Corrosion-Protection/dp/B00C5TJP9G/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YXy9xHbi1ApcMOLLN9_04P6ZDWZWe86hTzp666deOb2RyHyWezL6M8XV6b0HKNjOIAO77KZChkT-afWAAD1UXS_JSBND38aUwrRkS559QpLfSzW5NrBclo_3-M-tROKzRAT3ngbYtPDXficUNLyQfDaBu30RcuDhLB38qF7XZsuwydyuZH_z-vM9SG4XWIZPsVvlESVcncD_d9FcP-84giGuV9HrYQOohj0TfDllB-3vruD43QEwjsm96e62yLhLTnQnT-NMO6K-h1c0RLhdFyavENuE08jEOfEEr3W7m1jWEHqg8NL6UWhyViRBEqgx01YGkVlwhLm0DHPoZ_uzssWO1hzCkePeEW8lQIECcYJN-2j9cBtIwD_zif-btftiFgW4kkWRR3mMPL5u2a-aIraBVywQksh95Dza6jBKKq60ONLBXip5agzmJhc1Upeu.vpZc2RfJFgWDEidiy3hFz9lWdwSs8tGqtDSYJDDZy8s&dib_tag=se&keywords=steel%2Bcable%2Bwith%2Bloops&qid=1741708956&sr=8-7&th=1, 4  ,NA,NA,     Staking into ground so test stand doesn’t fly away (becomes dynamic fire)  
STATIC FIRING TEST STAND,True,Washer,6.15,NA,https://www.mcmaster.com/92141A031/, 1  , 100  , ⅜”-24   ,     Helps distribute load of bolt  
STATIC FIRING TEST STAND,False,Load Cell,147,NA,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/FC2311-0000-0500-L/809399?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Low%20ROAS%20Categories&utm_term=&utm_content=&utm_id=go_cmp-20243063506_adg-_ad-__dev-c_ext-_prd-809399_sig-CjwKCAjwp8--BhBREiwAj7og1z0ZtUUi_qNlPltOvzR7kFNuuki8WGSdae5VJYTyOhIQPgXas6XEPRoC-EYQAvD_BwE&gad_source=1&gclid=CjwKCAjwp8--BhBREiwAj7og1z0ZtUUi_qNlPltOvzR7kFNuuki8WGSdae5VJYTyOhIQPgXas6XEPRoC-EYQAvD_BwE&gclsrc=aw.ds, 1  ,NA,NA,"      (hopefully)  ,       Measures force  "
STATIC FIRING TEST STAND,False,Amplifier,17,NA,"https://www.digikey.com/en/products/detail/rochester-electronics,-llc/PTH04T230WAZ/13498527?gclsrc=aw.ds&&utm_adgroup=Power%20Supplies%20-%20Board%20Mount&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_DK%2BSupplier_Rochester&utm_term=&utm_content=Power%20Supplies%20-%20Board%20Mount&utm_id=go_cmp-14247218536_adg-126850964595_ad-539599984549_pla-354083420605_dev-c_ext-_prd-13498527_sig-CjwKCAjwp8--BhBREiwAj7og11WnQ7zy0RsXrbvssgsmJAbtJSPsEQYZaVt-PIf32Tl0Sk2CQGBVJRoCpHsQAvD_BwE&gad_source=1&gclid=CjwKCAjwp8--BhBREiwAj7og11WnQ7zy0RsXrbvssgsmJAbtJSPsEQYZaVt-PIf32Tl0Sk2CQGBVJRoCpHsQAvD_BwE&gclsrc=aw.ds", 1   ,NA,NA,     Amplifies signal from load cell  
STATIC FIRING TEST STAND,True,Temperature sticker,20,NA,https://www.mcmaster.com/59485K26/, 1  ,NA,NA,     Check external temp on top of motor
AVIONICS,True,Main Controller Board,18.00,NA,https://www.adafruit.com/product/6008, 2  ,NA,NA,     Will be the main computing module for the aircraft  
AVIONICS,True,Mini Solderable Breadboard,9.99,NA,https://www.amazon.com/gp/product/B0B2RQDJ54/ref=ewc_pr_img_2?smid=A22NPL1KB8AOV0&psc=1, 1  ,NA,NA,     To solder computing accessories together  
AVIONICS,True,Transmitter Radio,19.95,NA,https://www.adafruit.com/product/3072, 2  ,NA,NA,     To transfer data from the aircraft back to the user  
AVIONICS,True,GPS Sensor,29.95,NA,https://www.adafruit.com/product/5440, 1  ,NA,NA,     Allows tracking and recovery processes of rocket  
AVIONICS,True,Pressure / Altimeter / Barometric Sensor,9.95,NA,https://www.adafruit.com/product/3966, 2  ,NA,NA,     Accessory for gathering data on pressure and altitude  
AVIONICS,True,Accelerometer / Magnetometer,12.50,NA,https://www.adafruit.com/product/4413, 2  ,NA,NA,     Gathering data on acceleration  
AVIONICS,True,UPS HAT C for Raspberry Pi Zero Boards,29.00,NA,https://www.amazon.com/gp/product/B09JZH16WH/ref=ewc_pr_img_3?smid=AIVH4OZ6D0Y4K&psc=1, 1  ,NA,NA,     Power micro computer and sensors  
AVIONICS,True,Antenna Kit,44.95,NA,https://www.amazon.com/dp/B0CD7558GT?psc=1&ref_=cm_sw_r_cp_ud_ct_XD6ZV029CFTESFSR8143_4, 1  ,NA,NA,     Antenna used to gather data back from the transmitter  
AVIONICS,True,Camera for Raspberry Pi Zero,24.95,NA,https://www.adafruit.com/product/5390, 1  ,NA,NA,"     160 Degree Focal Angle  ,      Used to take pictures and collect useful suborbital data  "
AVIONICS,True,Machine Screw,16.95,NA,https://www.adafruit.com/product/4685, 1  ,NA,NA,     For internal mounting  
